name,name_variants,tier,mentors,promise,audience_nicho,deliveries,social_proof,page_number,is_ai,ai_relevance,ai_notes,attendees_with_club_field,members_count,guests_count,family_table_count,pista_premium_count,arquibancada_count
ENDOGIN,Endogin,gold,Caio Saraiva | Vinicius Carruego,"Mentoria para médicos que desejam se destacar em emagrecimento e reposição hormonal, tornando-se referências em suas cidades. Além de aperfeiçoamento técnico, inclui estratégias para aumentar o faturamento e superar crenças limitantes. O diferencial é o acompanhamento full-time dos mentores, oferecendo suporte total na condução dos pacientes e nos negócios.",medicina / saúde,ENCONTROS: 2 encontros presenciais por ano | MENTORIA ONLINE: Encontros semanais e quinzenais pelo zoom | ACOMPANHAMENTO: full-time pelos dois mentores e plataforma com conteúdos e materiais exclusivos | VANTAGENS COMERCIAIS: exclusivas na compra de implantes e injetáveis,indicador=+40 mentorandos com 100% de satisfação | indicador=100% de retorno sob investimento adquirido em menos de 03 meses | faturamento=6 dígitos em faturamento dos mentorados,19,False,none,,256,49,207,3,253,0
EQUITY SCALE,,gold,Raphael Mattos | Flávia Salgues,"O equity scale é pra empresários que buscam diversificar sua atuação e aprender a escalar seu patrimônio através de investimentos em scale-ups. O ambiente desta mentoria proporciona uma vivência em ecossistemas de investimentos, fundos, M&A, além de um novo posicionamento para empresários que almejam um novo grau de autoridade na sua carreira.",educação / mentores,ENCONTROS: 3 encontros presenciais | VISITAS TÉCNICAS: visitas técnicas e imersão presencial | WHATSAPP: grupo exclusivo para networking e troca de experiências,socios=12 sócios/ investidores | indicador=+ de 500 empresas avaliadas | indicador=500 empresas avaliadas | indicador=+10 milhões em investimentos | indicador=milhões em investimentos,20,False,none,,0,0,0,0,0,0
ETERNUM CLUB,,gold,Bruna Pieri | Everton Pieri,"Clube para empresários e profissionais da estética no geral, que desejam fazer parte do topo do mercado. O programa oferece estratégias para atrair mais clientes, aumentar seus lucros e ter mais liberdade através de uma metodologia com a maior validação do segmento com mais de 1,2 bilhão gerados em vendas de procedimentos estéticos.",estética,ENCONTROS: 2 econtros presenciais por ano | PLATAFORMA: com metodologia completa +30 estratégias práticas | GRUPO EXCLUSIVO: para trocas de experiências e um Anjo consultor disponível para dúvidas | ONLINE: 1 encontros online por semana,faturamento=+65 milhões em faturamento total do grupo | faturamento=milhões em faturamento total do grupo | indicador=+80 participantes no grupo | indicador=178% de crescimento médio no grupo,21,False,none,,0,0,0,0,0,0
EXPERTS CLUB,,gold,Ícaro Samuel | Daniel Botelho,"O Clube Experts é um clube de médicos influentes que atingiram o mais alto grau técnico e estão juntos para elevar ainda mais o patamar do ambiente de negócios na medicina privada. Plugue sua clínica no maior ecossistema de soluções do mercado e aprenda diretamente com quem aplica! Nossos mentorados tem acesso aos bastidores de modelos de clínicas que faturam milhões. Como contratamos, treinamos, vendemos e comunicamos",medicina / saúde,"ENCONTROS: 4 encontros presenciais por ano | SUPORTE: suporte estratégico em posicionamento e modelo de negócio | ACESSORIA: vendas, gestão, e experiência do cliente | CONSULTORIA: personalizada para médicos",faturamento=7 dígitos de faturamento por clínica | mentorados=+55 mentorados no grupo | indicador=+1 milhão de inscritos no canal do YouTube,22,False,none,,0,0,0,0,0,0
FIRE CLUB,FIRE Club,gold,Jhonny Martins | Carla Martins,"Focado em sócios, time e família, é uma comunidade que quer estar em um ambiente que fuja do tradicional com conhecimento e experiências que mudam a frequência e elevam o nível. A promessa é a evolução em 12 meses o que não evoluiria em 12 anos, pois treinamos o gestor, time, líderes e família.",contábil,ENCONTROS: 3 encontros presenciais por ano | PREMIAÇÕES: eventos com premiações exclusivas aos mentorados | VIAGENS: encontros em Resorts com muita experiência e conteúdo | WHATSAPP: grupo exclusivo com todos os membros e os mentores,socios=+50 bilhões gestão de patrimônio de clientes dos sócios | socios=+180 membros focados em estar em um ambiente que fuja | socios=membros focados em estar em um ambiente que fuja do tradicional | socios=+20 mil conexões com as empresas clientes dos + 60 sócios,23,False,none,,475,64,411,5,470,0
GRAN CLUB,Gran Club,gold,Daniel (O Pai do Networking) | Talyta Morgana,"O Gran Club é um ecossistema estratégico que conecta empresários de alto nível. Guiado pelos 3 Cs - Credibilidade, Comunicação e Conexão, transforma relacionamentos em negócios, posicionamento em autoridade e conexões em resultados reais. Reconhecido por gerar acesso, visibilidade e retorno sobre o investimento, o Gran Club também dá palco aos seus membros para que se tornem referências e ampliem sua autoridade.",educação / mentores,ENCONTROS: 3 encontros presenciais no ano e encontros online semanais | NETWORKING: Experiências e cafés de negócios extras | EXCLUSIVO: Mentoria individual de aceleração para formação de mentores,indicador=+70 milhões em negócios fechados | indicador=milhões em negócios fechados | socios=+50 membros de diferentes segmentos | socios=membros de diferentes segmentos | indicador=Negócios gerados diariamente,24,False,none,,69,7,62,4,22,43
HOUSE OF LEADERS,House Of Leaders,gold,Ícaro Samuel,"House of Leaders é uma comunidade para médicos que já alcançaram sucesso técnico e agora buscam liberdade, lucro e legado. Aqui, o doutor se torna líder, aprende a estruturar, escalar e dirigir um negócio de saúde que cresce e prospera mesmo sem depender dele.",cirurgia,"ENCONTROS: Encontros presenciais imersivos de 2 dias, focados em liderança, estrutura e expansão. | PLATAFORMA: Plataforma exclusiva com conteúdos gravados, materiais e ferramentas de gestão. | MENTORIAL SEMANAL: Mentorias e encontros online para desenvolvimento estratégico contínuo. | CONSULTORIAS PERSONALIZADAS: e sessões individuais com acompanhamento direto do Dr. Ícaro Samuel e equipe.",faturamento=5 milhões de faturamento médio mensal na Dream Clinic. | indicador=+150 cirurgiões formados pela Plástica Academy. | indicador=cirurgiões formados pela Plástica Academy. | indicador=53 médicos empreendedores ativos no ecossistema de | indicador=médicos empreendedores ativos no ecossistema de mentorias (Experts Club,25,False,none,,2,2,0,2,0,0
IMPORT MASTERS CLUB,Import Masters Club,gold,Camila Carvalho,"O clube reúne empresários que desejam escalar seus resultados através da importação. Empreendedores que buscam crescimento estruturado, aumento de margem e acesso a conexões estratégicas e networking de alto nível. Enquanto fortalecem suas operações de importação,os membros desenvolvem novas fontes de receita ao monetizar conhecimento no ecossistema do clube",educação / mentores,ENCONTROS: 3 encontros presenciais ao longo do ano + calls estratégicas online quinzenais | PLATAFORMA: acesso à plataforma exclusiva com conteúdos e encontros gravados,"mentorados=+27 mil alunos na maior comunidade de importadores do | mentorados=alunos na maior comunidade de importadores do Brasil | faturamento=+R$300 milhões em faturamento com importação gerados | faturamento=milhões em faturamento com importação gerados por membros da | indicador=+1,2 milhão de seguidores nas redes sociais",26,False,none,,91,14,77,3,30,58
MASTER ACELERADOR MÉDICO,Master Acelerador Médico,gold,Netto Lima | Nara Menezes,"O Master é para você, colega médico, que busca mais liberdade e lucro com pacientes particulares, planos high ticket ou mentorias. Dr. Netto estará ao seu lado até que atinja múltiplos 7 dígitos mensais no consultório ou mentoria. Mindset, vendas e gestão nunca mais serão os mesmos.",medicina / saúde,"ENCONTROS: 6 semanais On Line, 2 Presenciais Nacionais e 1 Internacional. | ACESSOS: à plataforma, gameficação e grupo exclusivo no whatsapp | ACOMPANHAMENTO: Individualizado com Dr. Netto e em grupo do seu time | CONDIÇÕES ESPECIAIS: na compra de implantes, injetáveis e tecnologias",faturamento=1 Bilhão de faturamento total do grupo | indicador=80% de diferentes segmentos | indicador=8 anos de atuação exclusiva com médicos,27,False,none,,132,48,84,4,128,0
MENTOR BUSINESS HEALTH,Mentor Business Health,gold,Marina Takiuti,"Mentorada por Marina Takiuti, é o ecossistema que transforma médicos em empresários. Garante resultado sustentável nos negócios e na vida, com gestão global estratégica em liderança, vendas, gestão emocional e posicionamento. Integra médicos e equipes para alta performance, fomenta networking internacional, legado da medicina e o seu real valor.",medicina / saúde,"ENCONTROS: 17 encontros presenciais e onlines | PLATAFORMA EXCLUSIVA: Conteúdos exclusivos mensais e Suporte online com Mentores Operacionais semanalmente | WHATSAPP: Grupo Exclusivo WhatsApp com a Mentora Marina Takiuti, demais especialistas e membros | EXCLUSIVO: Experiências vivenciais coletivas entre mentorados (médicos e suas equipes)",indicador=+1200 Médicos e equipes transformadas | indicador=Médicos e equipes transformadas | faturamento=+R$536M faturamento total do grupo | indicador=47% crescimento médio anual | indicador=26 Anos de Expertise,28,False,none,,49,11,38,2,13,34
MOOVR,Moovr Club,gold,Flávio Tavares | Érica Tavares,"O Moovr Club é uma plataforma de formação de líderes que desejam transformar sua experiência em impacto real. Aqui empresários passam por um processo de desenvolvimento que transforma conhecimento em método, método em mentoria e mentoria em comunidades estruturadas. E a partir destas comunidades, nascem grandes movimentos que transformam seus mercados.",educação / mentores,ENCONTROS: 3 encontros presencias de 2 dias por ano + encontros online semanais | PLATAFORMA: Acesso à plataforma exclusiva com gravações | WHATSAPP: grupo exclusivo de WhatsApp | EXCLUSIVO: experiências extras com grandes marcas + ferramenta exclusiva de IA,indicador=+500 milhões em valor já movimentado | indicador=milhões em valor já movimentado | indicador=+40 líderes fundadores | indicador=Rumo a 1 bilhão de valor em rede até 2026 | indicador=1 bilhão de valor em rede até 2026,29,False,adjacent,"menciona IA como pilar/ferramenta, não como tese",61,4,57,2,12,47
MYSELF CLUB,,gold,Mario Magalhães | Everton Rosa,"Se sua empresa estagnou ou você busca alinhar identidade e cultura ao negócio, o Myself Club é o próximo passo. Desde 2008, Everton Rosa guia líderes na ativação de sua identidade e posicionamento, combinando retratos exclusivos e mentoria personalizada. CEOs e fundadores alcançam impacto claro e resultados concretos, como Mario Magalhães, hoje mentor do clube.",educação / mentores,ENCONTROS: 2 encontros presenciais de 2 dias por ano e 1 online por mês | PLATAFORMA: Plataforma EAD - Método Posicionamento 5.0 | POSICIONAMENTO: Posicionamento personalizado com sessão de Retratos Profissionais | CONSULTORIA: Personalizada (Call individual) criação do Manual de Posicionamento,indicador=+60 mil pessoas fotografadas | indicador=+mil empresários atendidos | indicador=6 anos atuando no mercado,30,False,none,,0,0,0,0,0,0
PES MENTORING,PES Mentoring,gold,Marília Cardoso,"A PES Mentoring é para médicos de todas as áreas que desejam escalar o faturamento do seu consultório/clínica ou criar e vender infoprodutos. Mentorado pela Marília, médica endocrinologista pela USP, que começou do zero e fundou sua clínica, o Instituto Levite, e o PES, empresa de educação médica com mais de 3000 alunos e que dobra de tamanho a cada ano. O programa desenvolve no médico Posicionamento, Vendas, Marketing, Gestão, Liderança e Mentalidade sob a ótica de uma médica que se construiu como empresária.",oftalmologia / ótica,ENCONTROS: 2 encontros presenciais por ano e 2 online por mês | PLATAFORMA: plataforma com conteúdos e materiais exclusivos da mentoria | WHATSAPP: grupo exclusivo do Whatsapp com todos os membros e os mentores | FELLOW DAY: acesso a um Fellow Day no Instituto Levite,faturamento=+100 milhões de faturamento total do grupo | faturamento=milhões de faturamento total do grupo acumulados | indicador=+3 mil médicos transformados | pacientes=+30 milhões de pacientes impactados | pacientes=milhões de pacientes impactados,31,False,none,,42,20,22,3,35,4
PROSPERUS CLUB,Prosperus Club,gold,Dani Martins,"Promessa: alcançar mais prosperidade nos negócios e na vida. O clube é para empresários que querem ter uma visão de negócios e vendas mais estratégica e inteligente, fazer networking, desenvolver melhor seus líderes e times de vendas, cuidar de sua saúde mental e de sua inteligência espiritual.",medicina / saúde,ENCONTROS: 3 encontros presenciais e 6 encontros online durante o ano | PLATAFORMA: de suporte | WHATSAPP: grupo exclusivo com todos os membros | TREINAMENTO: mensal para a liderança e time comercial,faturamento=+200 milhões de faturamento entre os membros | faturamento=milhões de faturamento entre os membros | indicador=+mil funcionários impactados,32,False,none,,207,42,165,6,201,0
SHP MASTER,SHP | Master SHP,gold,Léo Toledo,"O Master SHP é um clube exclusivo para profissionais de destaque que desejam escalar resultados por meio da venda de mentorias de alto valor. Utiliza um método validado para criar, vender, entregar e escalar mentorias com previsibilidade, proporcionando ainda a participação em um grupo sólido de mentores para troca de experiências e networking estratégico.",educação / mentores,"ENCONTROS: 3 encontros presenciais por ano | ACOMPANHAMENTO: encontros quinzenais em grupo, encontros individuais trimestrais para implementação e acompanhamento mensal com um mentor do time | ACESSO EXCLUSIVO: a Metodologia SHP | TUTORIAS: tutorias técnicas com o time",indicador=SHP foi reconhecida no Top 3 em | indicador=reconhecida no Top 3 em vendas de | indicador=no Top 3 em vendas de 2024 da MLS | indicador=vendas de 2024 da MLS e impulsiona diversos clubes até ingressarem | indicador=2024 da MLS e impulsiona diversos clubes até ingressarem na LIGA,33,False,none,,194,33,161,4,190,0
THE REFF,The Reff,gold,Bruno Andrade | Kaio Cézar,"Mentoria para guiar líderes na construção de uma comunidade próspera com seus clientes e mentorados. A partir de uma tese única e de técnicas avançadas de posicionamento e liderança, o líder aumenta ticket, engajamento e renovação.",educação / mentores,ENCONTROS: Encontros semanais online + 2 encontros presenciais + 3 encontros individuais de implementação. | PLATAFORMA: Plataforma exclusiva com todos os encontros gravados. | WHATSAPP: Grupo exclusivo e individual com cada mentorado. | EXPERIÊNCIA: Acesso a experiências exclusivas.,faturamento=+5 milhões de faturamento na abertura do grupo. | faturamento=milhões de faturamento na abertura do grupo. | indicador=+70 líderes no grupo | indicador=+12 segmentos diferentes atendidos,35,False,none,,2,0,2,2,0,0
WE.MASTER SAPHIRE,we.master SAPHIRE | We.Master Saphire,gold,Renata Pontes | Conrado Adolpho,"O We.Master Saphire é um programa premium para empresários com alta maturidade empreendedora, conduzido por Conrado Adolpho e Renata Pontes. Oferece uma visão 360 graus sobre negócios, focando em lucro, qualidade de vida e pilares como escala, modelo de negócio, colaboração, família, disciplina e integridade, promovendo transformação completa.",educação / mentores,ENCONTROS: 3 encontros presenciais por ano | PLATAFORMA: plataforma exclusiva | WHATSAPP: grupo exclusivocom todos os sócios e os mentores | ONLINE: 12 encontros online,,34,False,none,,0,0,0,0,0,0
ADVOGADO 10X,Advogado 10X,silver,Cristiano Ferreira,"Clube exclusivo para advogados de diversas áreas, com foco em transformá-los em empresários do direito. O programa desenvolve habilidades em marketing, gestão e vendas, além do conhecimento jurídico, preparando- -os para liderar com inovação e estratégias que impulsionam sua atuação no mercado jurídico.",jurídico,ENCONTROS: 4 encontros presenciais e 48 encontros online durante o ano | PLATAFORMA: acesso à plataforma com conteúdos e materiais exclusivos | WHATSAPP: grupo exclusivo do Whatsapp com todos os membros e os mentores,faturamento=+250 milhões de faturamento no grupo | faturamento=milhões de faturamento no grupo | socios=+260 membros no grupo | colaboradores=+mil colaboradores impactados,38,False,none,,332,60,272,5,89,238
ALIVANCE MENTORING,Alivance Mentoring Club,silver,Rafael Granella,"Club exclusivo para Mentores e Empresários que buscam romper as barreiras que impedem de faturar mais. Pegamos na sua mão, olhamos na sua necessidade de forma individualizada e imergimos no seu negócio trazendo clareza, estratégia, método, e ação através de ferramentas que transformam mentalidade, vendas e gestão.",educação / mentores,ENCONTROS: 3 encontros presenciais de 2 dias + sessões individuais | PLATAFORMA: Área de membros com todas aulas gravadas para você e seu time | EXPERIÊNCIAS: Entregas extras neurovivenciais além dos encontros anuais | INDIVIDUALIZAÇÃO DA ENTREGA: Olhar para necessidade individual e adaptação das ferramentas para aceleração dos resultados.,socios=+40 sócios no grupo | socios=sócios no grupo | indicador=+100 milhões de reais gerados a mais para os | mentorados=milhões de reais gerados a mais para os mentorados,42,False,none,,33,8,25,4,9,20
AMPLIFY CLUB,Amplify,silver,Jaqueline Junqueira,"Mentoria de Comunicação de Alto Valor para Marcas Pessoais e Negócios de Alto Preço. O objetivo é desenvolver uma comunicação coerente e magnética, que gere alta percepção de valor e possibilite que Marcas Pessoais tenham maior visibilidade, reconhecimento, cobre mais caro e gerem maior conversão em seus negócios. Nomes reconhecidos, criação de método e metodologia para negócios educacionais, além da construção da comunicação e posicionamento para o online e presencial.",educação / mentores,"ENCONTROS: 3 eventos presenciais, eventos online, alinhamentos quinzenais | PLATAFORMA: Aulas exclusivas, ebooks e materiais premium | WHATSAPP: Grupo exclusivo para negócios e networking | ONLINE: 24 encontros online em grupo + 12 encontros de Mastermind",indicador=+20 milhões faturados com o grupo | indicador=milhões faturados com o grupo | indicador=+300 empresárias impactadas | socios=+60 membros ativos,67,False,none,,5,5,0,5,0,0
ARMI,,silver,Rodrigo Simoni | Adriana Sant’Anna,"O ARMI é liderado por Adriana Santana e Rodrigo, conecta empresários visionários a um ambiente exclusivo de networking e estratégias de elite. Com mais de 13 anos no digital, múltiplos 8 dígitos em faturamento e 9 milhões de seguidores, ajudamos líderes a transformar influência em patrimônio e acelerar impérios digitais lucrativos.",educação / mentores,ENCONTROS: 2 encontros presenciais + 6 encontros online durante o ano | PLATAFORMA: Acesso a plataforma exclusiva com todos os encontros gravados | WHATSAPP: Grupo exclusivo no WhatsApp | EXCLUSIVO: Programa de aceleração em 90 dias. Sala Vip ARMI,mentorados=120 mil alunos transformados | indicador=70 países +9 | indicador=+9 milhões de seguidores nas redes sociais | indicador=milhões de seguidores nas redes sociais,39,False,none,,0,0,0,0,0,0
ATOMIC GROWTH,Atomic Growth Club,silver,Filipe Bento,"O AGC é para empresários que querem crescer infinitamente e de forma sustentável na vida e nos negócios. É para quem quer aprender a escalar com propósito, construir equity e liberdade com a mesma energia do primeiro dia. É sobre prosperar em todas as áreas da vida.",educação / mentores,ENCONTROS: 3 encontros presenciais ao longo do ano e 9 online com convidados renomados. | PLATAFORMA: com todos os encontros gravados | EXPERIÊNCIAS: exclusivas além da agenda dos encontros anuais | WHATSAPP: comunidade exclusiva para sócios,indicador=+20 mil clientes na base dos empresários | socios=+30 sócios no grupo | nps=+90 pontos no NPS,40,False,none,,43,8,35,3,35,5
AUTHENTIC LEADER,Authentic Leader,silver,Guilherme Wadouski,"Authentic Leader é para executivos e empresários que já alcançaram grandes resultados e agora querem transformar experiência em autoridade, negócios e legado. Ensina a usar o próprio nome como ativo estratégico, criar mentorias de alto valor e construir negócios escaláveis no digital. Um espaço para líderes autênticos que desejam ampliar impacto e ganhos.",educação / mentores,ENCONTROS: 2 eventos presenciais por ano + 12 encontros em grupo online no ano | ACOMPANHAMENTO: encontros individuais com Guilherme Wadouski para implementação e direcionamento personalizado | PLATAFORMA: plataforma exclusiva com todos os encontros gravados + conteúdo estratégico | WHATSAPP: grupo exclusivo com todos os membros e o mentor,"indicador=Múltiplos 7 dígitos de vendas em um ano de clube | indicador=7 dígitos de vendas em um ano de clube | indicador=+60 mentorandos no primeiro ano em 4 continentes: | indicador=mentorandos no primeiro ano em 4 continentes: Brasil, EUA, Europa | indicador=LinkedIn Top Voice com vendas 100% inbound | indicador=Top Voice com vendas 100% inbound com conteúdos",41,False,none,,57,12,45,3,27,27
BLACK SPARTAN,,silver,Dra. Clessya Rocha | Dr. Tasso Carvalho,"Black Spartan é uma mentoria para médicos que decidiram elevar o nível de suas entregas na prática, por meio da construção de um grande repertório terapêutico e da elevação de sua autoridade através de métodos já validados. O programa acontece dentro de um ecossistema completo, que favorece um crescimento profissional e pessoal significativo.",medicina / saúde,ENCONTROS: 3 encontros presenciais + 40 online semanais em grupo. | PLATAFORMA: App com aulas médicas e sessões gravadas de mentoria. | MENTORIA INDIVIDUAL: 8 encontros individuais com Tasso Carvalho | WHATSAPP: Grupo exclusivo de WhatsApp com mentorados e mentor,socios=+ 40 membros + 100 | colaboradores=+ 100 colaboradores impactados | faturamento=7 dígitos de faturamento dos mentorados,45,False,none,,0,0,0,0,0,0
BRAIN,Brain,silver,João Brognoli,"A mentoria BRAIN é baseada no acrônimo BRAIN: Burocracia, Resultados, Ambiência, Impacto e Números. Focada no crescimento empresarial, destaca o conceito de ambiência e temas práticos. Composta por agências de marketing digital e tecnologia, atrai outros setores devido à expertise de João nesse mercado.",educação / mentores,ENCONTROS: 3 Encontros presenciais ao longo do ano | PLATAFORMA: com gravações de todas as aulas e conteúdos práticos | WHATSAPP: grupo exclusivo do Whatsapp com todos os membros e os mentores | ACOMPANHAMENTO: Método único de acompanhamento do ponto B ao ponto A,socios=+1.4 bilhões entre os membros do clubes | socios=bilhões entre os membros do clubes | socios=+150 membros no grupo | indicador=+2 mil profissionais treinados,46,False,none,,75,27,48,3,18,54
